City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,12.07,80,89,0.89,AU,1715696917
1,tralee,52.2704,-9.7026,13.14,94,75,2.06,IE,1715696917
2,bay city,43.5945,-83.8889,11.17,78,100,4.63,US,1715696918
3,ilulissat,69.2167,-51.1,-4.99,68,75,3.09,GL,1715696919
4,carnarvon,-24.8667,113.6333,22.41,66,0,3.18,AU,1715696919
5,st. john's,47.5649,-52.7093,6.27,97,100,7.15,CA,1715696920
6,makoua,0.0069,15.6333,25.34,89,100,4.09,CG,1715696921
7,al kharj,24.155,47.3346,40.32,12,4,2.49,SA,1715696921
8,san antonio de pale,-1.4014,5.6325,26.9,83,38,5.05,GQ,1715696922
9,punta arenas,-53.15,-70.9167,7.06,76,0,12.86,CL,1715696922
10,aykhal,66.0,111.5,-2.16,81,45,11.49,RU,1715696923
11,san ignacio de velasco,-16.3667,-60.95,15.23,65,100,5.32,BO,1715696923
12,adamstown,-25.066,-130.1015,21.74,81,10,2.53,PN,1715696924
13,quelimane,-17.8786,36.8883,22.97,83,40,4.32,MZ,1715696925
14,khandyga,62.6667,135.6,2.21,76,95,1.48,RU,1715696925
15,port lincoln,-34.7333,135.8667,14.64,80,100,2.16,AU,1715696926
16,vila franca do campo,37.7167,-25.4333,18.27,99,93,3.29,PT,1715696926
17,nuuk,64.1835,-51.7216,-0.66,93,75,4.63,GL,1715696927
18,pemba,-12.974,40.5178,29.39,65,20,6.69,MZ,1715696928
19,rio de janeiro,-22.9028,-43.2075,31.97,73,20,3.09,BR,1715696928
20,college,64.8569,-147.8028,5.18,92,75,1.54,US,1715696733
21,banjar,-8.19,114.9675,25.24,86,58,1.92,ID,1715696929
22,chonchi,-42.6128,-73.8092,3.56,80,7,1.02,CL,1715696930
23,fort bragg,35.139,-79.006,19.9,95,100,3.09,US,1715696930
24,queenstown,-31.8976,26.8753,26.61,22,19,6.73,ZA,1715696477
25,kristinestad,62.2743,21.376,22.83,63,99,4.84,FI,1715696931
26,pemangkat,1.1667,108.9667,25.93,91,100,3.3,ID,1715696932
27,haiku-pauwela,20.9219,-156.3051,21.69,87,0,2.57,US,1715696933
28,la ronge,55.1001,-105.2842,8.14,71,75,4.63,CA,1715696933
29,afaahiti,-17.75,-149.2833,22.93,72,68,9.28,PF,1715696934
30,waitangi,-43.9535,-176.5597,10.46,89,100,0.89,NZ,1715696934
31,port-aux-francais,-49.35,70.2167,3.3,63,99,8.81,TF,1715696935
32,hadibu,12.65,54.0333,30.5,63,11,0.51,YE,1715696936
33,lae,-6.7221,146.9847,23.53,87,81,0.64,PG,1715696936
34,coquimbo,-29.9533,-71.3436,11.85,87,0,3.09,CL,1715696937
35,rudbar,30.15,62.6,38.94,9,98,1.07,AF,1715696937
36,atlantic,39.4668,-74.6663,21.05,72,0,4.12,US,1715696938
